Exercise;Arm;Session Time;Tries;Correct Repetitions;Correctness;Average Time per Repetition;Rest count;Left Shoulder Up;Right Shoulder Up;Leaned Left;Leaned Right
Shapes;Right;03:24;11;11;100;00:18;10;0;1;0;0
Shapes;Right;04:29;15;15;100;00:17;11;0;1;0;0
Shapes;Right;05:22;15;15;100;00:21;13;0;1;0;0
